ID	Cohort	Sample Type	GAPDH CT	HBEGF CT	NR4A3 CT 	S1 CT	SYTL3 CT	SULF1 CT	CH25H CT	HFKBIA CT	NR4A2 CT	EDN1 CT	VPS8 CT
1	GH	MI	10.702	24.416	25.070	23.586	18.596	30.183	28.786	16.645	19.904	23.231	19.250
2	GH	MI	10.507	23.877	24.086	24.905	19.659	33.770	28.158	16.464	19.559	23.707	19.028
3	GH	MI	9.648	24.223	27.595	24.457	19.278	28.990	28.384	16.386	20.553	23.346	18.736
4	GH	MI	9.364	23.387	27.955	23.919	17.208	32.969	28.685	16.027	20.239	21.770	18.590
5	GH	MI	9.191	22.912	23.697	24.095	17.143	28.320	27.971	15.179	18.185	22.027	18.179
6	GH	MI	10.606	23.875	25.482	24.743	18.659	31.456	28.534	16.258	19.613	23.062	18.975
7	GH	MI	9.893	23.955	24.727	24.323	19.010	31.861	29.033	15.219	20.004	21.941	18.441
8	GH	MI	9.642	23.681	24.562	23.773	18.336	30.348	29.150	15.579	19.985	22.626	18.745
9	GH	MI	8.998	23.563	26.320	23.862	17.527	28.073	27.354	15.684	20.376	22.393	17.984
10	GH	MI	10.259	24.142	24.663	23.991	19.283	34.237	28.595	16.337	19.638	23.050	19.592
11	GH	MI	9.321	24.393	26.969	22.776	18.745	24.541	28.961	14.537	21.199	21.502	18.051
12	GH	MI	10.142	24.319	24.938	23.626	18.740	29.386	29.844	15.957	20.071	22.762	19.632
13	GH	MI	11.485	26.790	28.556	26.375	20.905	Undetermined	29.482	18.372	23.958	24.584	20.920
14	GH	MI	9.970	25.076	27.781	25.412	18.866	28.982	28.048	15.805	21.100	22.954	18.849
15	GH	MI	10.911	25.736	28.007	24.777	20.291	31.027	28.748	17.057	21.807	23.051	19.798
16	GH	MI	10.917	25.499	28.515	24.421	20.497	33.510	29.723	16.488	22.375	23.753	20.116
17	GH	MI	11.597	26.285	27.126	24.638	19.973	26.976	29.255	17.130	22.394	22.598	20.314
18	GH	MI	10.984	25.862	28.461	24.954	20.104	32.679	27.766	16.951	23.493	23.926	19.903
19	GH	MI	10.780	23.200	23.790	24.339	18.973	29.123	28.204	15.680	19.699	22.174	19.387
20	GH	MI	9.326	25.005	26.865	24.394	18.666	29.864	27.395	15.729	22.389	22.447	19.035
21	GH	MI	10.269	25.592	27.301	24.300	18.488	31.818	28.735	16.173	21.990	23.484	18.963
22	GH	MI	10.470	25.215	27.956	24.070	19.557	24.971	28.154	15.977	22.646	21.746	19.346
23	GH	MI	10.753	23.933	24.278	25.166	19.050	Undetermined	30.358	16.584	20.170	23.417	19.754
24	GH	MI	10.795	24.993	26.399	24.673	19.486	34.107	29.073	16.349	19.811	23.062	19.817
25	GH	MI	10.890	25.265	27.053	25.959	19.927	33.120	28.593	16.983	22.538	23.264	19.476
26	GH	MI	9.765	22.967	23.683	25.728	17.784	31.468	28.001	15.266	18.841	23.219	18.730
27	GH	MI	11.288	26.031	28.791	25.536	19.410	28.333	29.082	16.176	22.915	24.500	19.757
28	GH	MI	9.872	25.199	28.625	24.909	19.372	31.880	28.633	15.791	23.689	22.885	19.328
29	GH	MI	10.630	25.494	26.975	25.111	19.264	29.473	27.936	16.286	22.004	22.859	19.402
30	GH	MI	10.159	23.727	24.292	25.136	17.679	34.528	28.087	14.782	19.533	22.010	18.435
31	GH	MI	9.694	23.978	25.336	24.812	16.937	33.956	29.275	15.647	19.648	22.304	18.957
32	GH	MI	10.655	25.372	27.584	25.003	19.498	35.728	28.473	15.107	21.391	23.301	18.739
33	GH	MI	10.695	24.801	25.697	24.620	18.955	26.942	28.529	16.099	20.897	22.874	19.277
34	GH	MI	10.483	25.961	27.614	25.142	18.728	26.776	28.285	16.052	21.602	23.221	19.394
35	GH	MI	11.315	25.601	27.398	25.526	19.821	30.849	27.873	17.811	21.472	22.218	19.308
36	GH	MI	10.724	24.923	28.942	27.046	21.120	31.418	31.230	17.276	22.989	22.978	20.215
37	GH	MI	11.170	24.535	28.088	23.379	18.809	30.915	28.120	16.240	20.914	23.208	19.074
38	GH	MI	11.673	24.705	25.451	25.349	18.669	29.818	28.251	16.818	20.336	22.941	19.487
39	GH	MI	9.931	24.723	27.651	23.790	19.675	Undetermined	28.141	15.686	22.178	23.309	18.841
40	GH	MI	10.491	23.006	26.530	25.254	19.133	30.806	28.084	16.335	21.211	22.605	19.179
41	GH	MI	10.204	23.973	26.678	25.440	19.273	29.307	29.016	16.238	21.140	21.904	19.357
42	GH	MI	11.625	25.969	27.460	25.327	18.909	28.930	28.273	16.070	20.877	23.100	19.472
43	GH	MI	10.810	25.278	28.425	25.470	19.571	28.030	30.186	15.893	21.221	21.946	18.951
44	GH	MI	9.930	24.082	27.305	23.967	18.338	28.150	30.001	15.446	21.549	22.310	18.655
45	GH	MI	13.355	27.415	28.423	26.584	21.418	33.961	31.073	19.647	23.893	26.350	22.118
46	GH	Control	10.950	25.364	29.785	25.496	19.982	35.771	29.437	17.097	22.303	22.634	19.462
47	GH	Control	10.259	23.366	27.015	24.292	18.653	34.053	27.586	16.601	20.696	21.827	19.136
48	GH	Control	11.374	25.789	27.841	26.483	21.023	34.301	28.850	17.536	22.629	23.027	20.514
49	GH	Control	11.348	25.677	27.958	25.881	20.308	Undetermined	29.096	17.284	22.903	23.946	20.160
50	GH	Control	12.127	25.705	27.856	25.764	20.753	Undetermined	28.618	17.240	22.507	23.104	19.910
51	GH	Control	10.649	24.955	28.151	26.362	20.286	Undetermined	29.185	16.701	22.701	22.326	19.636
52	GH	Control	10.660	25.069	28.270	26.817	20.587	33.895	30.808	17.260	24.121	23.112	19.963
53	GH	Control	11.869	24.809	28.298	25.776	20.287	34.887	28.932	16.905	23.024	22.686	19.703
54	GH	Control	10.661	24.554	28.147	26.325	20.033	Undetermined	29.298	17.115	21.953	22.965	20.078
55	GH	Control	10.657	25.096	27.464	26.718	20.139	35.109	29.171	17.494	22.294	22.913	19.971
56	GH	Control	11.568	25.101	28.168	25.642	19.133	35.126	28.393	17.170	22.081	22.938	19.209
57	GH	Control	10.716	25.625	27.858	25.069	20.178	35.535	28.576	17.021	22.337	22.435	19.354
58	GH	Control	11.300	25.148	28.205	27.115	20.472	Undetermined	29.117	17.402	22.936	22.895	20.047
59	GH	Control	10.429	24.594	27.947	25.604	19.634	35.513	28.412	16.976	22.579	22.704	19.429
60	GH	Control	11.609	25.965	27.870	26.752	20.693	35.090	29.884	17.816	24.484	23.276	20.575
61	GH	Control	10.770	24.950	28.209	26.647	19.972	Undetermined	28.655	16.149	22.108	22.908	19.417
62	GH	Control	10.952	25.557	28.039	26.027	20.729	Undetermined	28.736	17.606	23.335	23.329	19.980
63	GH	Control	11.654	26.566	28.263	26.319	21.253	Undetermined	29.341	17.914	22.943	23.818	20.533
64	GH	Control	10.594	24.214	27.065	24.488	19.396	36.941	27.816	16.616	21.581	22.737	19.045
65	GH	Control	10.352	24.305	28.144	25.521	20.278	33.894	27.999	17.390	21.363	22.139	19.835
66	GH	Control	10.783	24.208	27.880	25.907	19.918	Undetermined	28.787	17.140	22.093	22.698	19.406
