ID	Sample Type	Cohort	GAPDH CT	HBEGF CT	NR4A3 CT 	S1 CT	SYTL3 CT	SULF1 CT	CH25H CT	HFKBIA CT	NR4A2 CT	EDN1 CT	VPS8 CT
82	MI	HD	18.527	24.267	24.979	25.622	20.969	34.097	26.046	18.916	26.067	26.303	23.520
83	MI	HD	15.176	22.990	24.794	24.168	17.920	34.879	23.967	16.509	24.185	23.459	21.714
84	MI	HD	22.343	31.610	31.605	26.608	22.244	Undetermined	26.921	24.331	32.225	31.718	27.532
85	MI	HD	12.964	19.708	24.418	23.569	15.434	27.060	24.070	14.628	22.823	21.352	17.037
86	MI	HD	12.462	16.833	17.071	21.024	14.567	28.984	21.896	10.984	19.025	17.827	18.308
87	MI	HD	12.319	17.257	20.009	23.293	13.947	31.621	22.695	13.625	20.171	20.146	17.951
88	MI	HD	13.090	18.985	20.339	23.147	15.993	33.534	24.986	11.957	20.950	20.539	18.734
89	MI	HD	12.809	19.650	22.878	21.981	13.638	28.121	22.901	13.501	21.971	20.019	16.391
90	MI	HD	12.510	18.416	22.246	22.697	15.288	30.337	23.111	13.155	21.738	19.973	16.395
91	MI	HD	12.176	19.271	23.279	23.528	14.804	30.325	23.212	14.352	21.268	21.052	16.989
92	MI	HD	12.118	19.275	21.647	19.641	14.071	31.105	20.773	14.115	21.468	21.165	17.417
93	MI	HD	12.627	16.942	19.847	22.591	13.881	33.582	22.700	14.076	19.867	21.510	17.499
94	MI	HD	12.504	20.715	24.516	24.684	14.658	27.842	24.053	15.090	22.431	23.245	16.954
95	MI	HD	12.972	20.938	24.101	22.493	14.268	31.138	22.535	15.205	21.025	22.663	16.549
96	MI	HD	17.796	23.738	25.935	20.820	20.677	35.822	20.632	18.684	26.224	26.976	22.954
97	MI	HD	13.888	19.972	21.852	21.092	17.669	33.653	21.411	13.677	22.511	21.687	19.278
98	MI	HD	10.315	16.061	17.412	18.729	12.973	25.374	19.312	11.725	18.739	18.662	15.355
99	MI	HD	12.793	20.620	24.723	21.479	17.338	32.352	21.321	14.346	24.777	22.735	18.228
100	MI	HD	11.928	15.526	19.752	19.382	13.904	27.766	19.457	11.661	19.840	20.123	16.614
101	MI	HD	11.511	17.753	20.441	18.297	13.201	28.383	19.027	14.211	20.194	21.192	16.704
102	MI	HD	11.703	18.415	22.742	20.989	16.023	Undetermined	20.955	11.707	21.328	20.498	17.265
103	MI	HD	12.715	19.043	21.476	22.784	14.772	28.092	22.696	14.655	21.312	21.431	17.329
104	MI	HD	12.991	20.918	24.745	19.532	15.857	27.735	19.645	15.006	22.647	22.707	17.408
105	MI	HD	11.946	18.234	24.545	23.349	15.321	31.801	23.967	14.751	21.771	21.409	16.527
106	MI	HD	14.175	19.618	22.343	19.766	18.265	35.949	20.315	13.651	22.959	22.472	21.418
107	MI	HD	14.087	20.248	26.592	20.301	17.070	31.869	19.899	17.050	25.172	23.999	19.897
